id,name
~Daming_Li1,Daming Li
~Suwen_Ge1,Suwen Ge
~Ninaad_Rao1,Ninaad Rao
~Vineeth_Kalluru1,Vineeth Kalluru
~Daqing_Hou3,Daqing Hou
~Haoran_Yu9,Haoran Yu
~Prajwal_Sanjay_Pisal1,Prajwal Sanjay Pisal
~Md._Asif_Haider1,Md. Asif Haider
~Siba_Mishra1,Siba Mishra
~Yihang_Chen15,Yihang Chen
~Karim_Elish2,Karim Elish
~Sasha_Aptlin1,Sasha Aptlin
~Advitya_Gemawat2,Advitya Gemawat
~Rui_Melo2,Rui Melo
~Quanzhi_Fu2,Quanzhi Fu
~Anisha_Jadhav1,Anisha Anil Jadhav
~Arjun_Chakraborty1,Arjun Chakraborty
~Sandesh_Basrur1,Sandesh Basrur
~Siddharth_Vohra1,Siddharth Vohra
~Jianan_Liu7,Jianan Liu
~Bhoomi_Kalpesh_Patel1,Bhoomi Kalpesh Patel
~Jiao_Liu7,Jiao Liu
~Yu_Shi25,Yu Shi
~Gabriele_De_Vito1,Gabriele De Vito
~Shraddha_Barke1,Shraddha Barke
~ABHISHEK_DHARMARATNAKAR1,ABHISHEK DHARMARATNAKAR
~Akshay_Mallipeddi1,Akshay Mallipeddi
~Kadir_Alpaslan_Demir1,Kadir Alpaslan Demir
~Sayan_Ghosh2,Sayan Ghosh
