Title,Authors,decision
SVRepair: Structured Visual Reasoning for Automated Program Repair,"Jincheng Wang, Liwei Luo, Xiaoxuan Tang, Jingxuan Xu, Sheng Zhou, Dajun Chen, Wei Jiang, Yong Li",Accept (Oral)
Self-EvolveRec: Self-Evolving Recommender Systems with LLM-based Directional Feedback,"Sein Kim, Sangwu Park, HongSeok Kang, Wonjoong Kim, Jimin Seo, Yeonjun In, Kanghoon Yoon, Hyunsik Jeon, Chanyoung Park",Accept (Oral)
Rethinking Failure Attribution in Multi-Agent Systems: A Multi-Perspective Benchmark and Evaluation,"Yeonjun In, Mehrab Tanjim, Jayakumar Subramanian, Sungchul Kim, Uttaran Bhattacharya, Wonjoong Kim, Sangwu Park, Somdeb Sarkhel, Chanyoung Park",Accept (Oral)
RANGER: Repository-level Agent for Graph-Enhanced Retrieval,"Pratik Shah, Rajat Ghosh, Aryan Singhal, Debojyoti Dutta",Accept (Poster)
Habituation at the Gate: Rising Approval and Declining Scrutiny in Human Review of AI Agent Code,"Haoran Yu, Lifei Liu, Xiaochong Jiang, Yuwen Jia, Su Wang, Pin Qian, Yihang Chen",Accept (Poster)
Beyond SimpsonÕs Paradox: A Cascade of Confounders in AI Agent Pull-Request Co-Authorship,"Haoran Yu, Xiaochong Jiang, Lifei Liu, Su Wang, Pin Qian, Yihang Chen",Accept (Poster)
Skill-as-API: Confidential Multi-Agent Coordination for Agentic Software Engineering,"Ziwei Zhao, Yu Gu, Haojun Liang, Chen Zhang, Xizhi Ding",Accept (Poster)
LLM-as-Code: Agentic Programming for Agent Harness,"JUNJIA QI, Zichuan Fu, Jingtong Gao, Wenlin Zhang, Hanyu Yan, Xian Wu, Xiangyu Zhao",Accept (Poster)
When Does Restricting a Coding Agent to `execute_code` Help? A Regime _ Agent-Design Ablation,"Hong Yang, Qi Yu, Travis Desell",Accept (Poster)
Cross-Model LLM Code Review: Should you use Claude to review Codex or vice versa?,"Zuodong Xiang, Yike Zhang, Hailu Xu, YueMing Zhang",Accept (Poster)
Position: Coding Benchmarks Are Misaligned with Agentic Software Engineering,"Maria I. Gorinova, Macey Baker, Amy Heineike, Maksim Shaposhnikov, Rob Willoughby, Dru Knox",Accept (Poster)
Tracing the Messy Middle: A Runtime Transaction Schema for AI Coding Agents,"Yuelin Hou, Haorui Li, Lu Chen, Zhen Chen",Accept (Poster)
Early Adoption of Agentic Coding Tools by GitHub Projects,"MALIHA NOUSHIN RAIDA, Daqing Hou",Accept (Poster)
$\textit{Aleena}$: Alignment Agent for Research Software Engineering,"Kshitij Dani, Cordero Core, Landung Setiawan, Carlos Garcia Jurado Suarez, Anshul Tambay, Vani Mandava, Anant Mittal",Accept (Poster)
CAGE for Agentic Software Engineering: Field-Level Authorization at the AI Teammate Tool Boundary,JosŽ Luis Delgado,Accept (Poster)
Trust but Verify? Uncovering the Security Debt of Autonomous Coding Agents,"A H M Nazmus Sakib, Dipayan Banik, Murtuza Jadliwala",Accept (Poster)
Task-Specialized Harness Refinement\\Across Financial Decision Tasks,Jinuk Lee,Accept (Poster)
Memory as a Service (MaaS): Purpose-Bound Memory Mediation for Cooperative Agents,Haichang Li,Accept (Poster)
Understanding Human Review Behavior in Agent-Authored Pull Requests: Evidence from AIDev,"Chen Zhang, Junxi Wang, Shihong Huang",Accept (Poster)
Cost-Efficient Agentic Repository Setup for Automated SWE-bench Instance Construction,Jaehyeon Shin,Accept (Poster)
